Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status
./repos/c++/magic_enum/build/test/test_flags-cpp17,722718.0,1.0,2772.0,2772.0,486785.0,175.607864357864,1.0,0.0,0.996179134102469,0.0038208658975313,3208288.0,8.39916825294495,True
./repos/c++/magic_enum/build/test/test_containers-cpp23,1125447.0,1.0,2558.0,2558.0,457714.0,178.934323690383,1.0,0.0,0.997732279555498,0.0022677204445015,2966944.0,6.94663739204407,True
./repos/c++/magic_enum/build/test/test_containers-cpp20,1125447.0,1.0,2558.0,2558.0,457714.0,178.934323690383,1.0,0.0,0.997732279555498,0.0022677204445015,2966944.0,7.48087668418884,True
./repos/c++/magic_enum/build/test/test_containers-cpp17,522959.0,1.0,2558.0,2558.0,457714.0,178.934323690383,1.0,0.0,0.995132412462394,0.0048675875376058,2918096.0,7.27353525161743,True
./repos/c++/magic_enum/build/test/test_aliases-cpp23,1086459.0,1.0,2506.0,2506.0,455820.0,181.891460494812,1.0,0.0,0.997698732282488,0.0023012677175115,2828848.0,6.90513944625855,True
./repos/c++/magic_enum/build/test/test_aliases-cpp20,1086459.0,1.0,2506.0,2506.0,455820.0,181.891460494812,1.0,0.0,0.997698732282488,0.0023012677175115,2828848.0,6.96878743171692,True
./repos/c++/magic_enum/build/test/test_aliases-cpp17,492407.0,1.0,2506.0,2506.0,455820.0,181.891460494812,1.0,0.0,0.994936483786039,0.0050635162139608,2783464.0,6.86965250968933,True
./repos/c++/magic_enum/build/test/test-cpp23,1703836.0,1.0,3086.0,3086.0,503394.0,163.121840570318,1.0,0.0,0.998192067358673,0.0018079326413274,3475384.0,8.98444581031799,True
./repos/c++/magic_enum/build/test/test-cpp20,1703836.0,1.0,3086.0,3086.0,503394.0,163.121840570318,1.0,0.0,0.998192067358673,0.0018079326413274,3475384.0,9.39711380004883,True
./repos/c++/magic_enum/build/test/test-cpp17,857002.0,1.0,3086.0,3086.0,503394.0,163.121840570318,1.0,0.0,0.996411995051669,0.0035880049483308,3430080.0,9.01926970481873,True
./repos/c++/magic_enum/build/example/example_switch,1048.0,1.0,3.0,3.0,77851.0,25950.3333333333,1.0,0.0,0.997145575642246,0.0028544243577545,78088.0,5.52990055084229,True
./repos/c++/magic_enum/build/example/example_custom_name,525.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.996204933586338,0.0037950664136622,43440.0,5.42576503753662,True
./repos/c++/magic_enum/build/example/example_containers_set,1347.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.998517420311342,0.0014825796886582,42800.0,5.52864956855774,True
./repos/c++/magic_enum/build/example/example_containers_bitset,671.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.99702823179792,0.0029717682020802,32496.0,5.52866077423096,True
./repos/c++/magic_enum/build/example/example_containers_array,338.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.994117647058824,0.0058823529411764,29816.0,5.52362251281738,True
./repos/c++/magic_enum/build/example/example,1246.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.998397435897436,0.0016025641025641,48200.0,5.40818667411804,True
./repos/c++/magic_enum/build/example/enum_flag_example,2226.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.999102333931777,0.0008976660682226,51248.0,5.35294842720032,True
./repos/c++/json/build/tests/test-wstring_cpp11,51279.0,1.0,138.0,138.0,124110.0,899.347826086957,1.0,0.0,0.997316062780792,0.0026839372192076,1242552.0,2.83836221694946,True
./repos/c++/json/build/tests/test-windows_h_cpp11,11879.0,1.0,16.0,16.0,115058.0,7191.125,1.0,0.0,0.998654897015553,0.0013451029844472,506672.0,2.1750066280365,True
./repos/c++/json/build/tests/test-user_defined_input_cpp11,47133.0,1.0,76.0,76.0,117375.0,1544.40789473684,1.0,0.0,0.998390137473787,0.0016098625262132,1216240.0,2.56413841247559,True
./repos/c++/json/build/tests/test-unicode5_cpp11,13226.0,1.0,22.0,22.0,115931.0,5269.59090909091,1.0,0.0,0.998339371980676,0.0016606280193236,1166256.0,2.15167951583862,True
./repos/c++/json/build/tests/test-unicode4_cpp11,13226.0,1.0,22.0,22.0,115931.0,5269.59090909091,1.0,0.0,0.998339371980676,0.0016606280193236,1166256.0,2.33059477806091,True
./repos/c++/json/build/tests/test-unicode3_cpp11,13226.0,1.0,22.0,22.0,115931.0,5269.59090909091,1.0,0.0,0.998339371980676,0.0016606280193236,1166256.0,2.22112798690796,True
./repos/c++/json/build/tests/test-unicode2_cpp11,13226.0,1.0,22.0,22.0,115931.0,5269.59090909091,1.0,0.0,0.998339371980676,0.0016606280193236,1170352.0,2.18441653251648,True
./repos/c++/json/build/tests/test-unicode1_cpp11,734927.0,1.0,3602.0,3602.0,448261.0,124.447806774014,1.0,0.0,0.995122737224943,0.0048772627750569,1318280.0,2.88773655891418,True
./repos/c++/json/build/tests/test-udt_macro_cpp11,1132032.0,1.0,1737.0,1737.0,257291.0,148.123776626367,1.0,0.0,0.998467941882341,0.0015320581176588,1780736.0,3.37583994865418,True
./repos/c++/json/build/tests/test-udt_cpp11,413912.0,1.0,841.0,841.0,154888.0,184.171224732461,1.0,0.0,0.997972287120286,0.0020277128797139,2474824.0,3.64526200294495,True
./repos/c++/json/build/tests/test-udl_cpp11,84769.0,1.0,206.0,206.0,121234.0,588.514563106796,1.0,0.0,0.997575757575758,0.0024242424242424,1127168.0,2.69561839103699,True
./repos/c++/json/build/tests/test-ubjson_cpp11,2791425500.0,1.0,420853.0,420853.0,323390006.0,768.415589291273,1.0,0.0,0.999849256389218,0.000150743610782,2687024.0,138.786114215851,True
./repos/c++/json/build/tests/test-type_traits_cpp11,19713.0,1.0,25.0,25.0,115560.0,4622.4,1.0,0.0,0.998733407640085,0.0012665923599148,513808.0,2.22130227088928,True
./repos/c++/json/build/tests/test-to_chars_cpp11,220516.0,1.0,284.0,284.0,143393.0,504.904929577465,1.0,0.0,0.998713768115942,0.0012862318840579,768232.0,2.51028609275818,True
./repos/c++/json/build/tests/test-testsuites_cpp11,68154314.0,1.0,36040.0,36040.0,12003523.0,333.061126526082,1.0,0.0,0.999471479499872,0.0005285205001282,1588128.0,7.36689448356628,True
./repos/c++/json/build/tests/test-serialization_cpp11,208847.0,1.0,688.0,688.0,185581.0,269.739825581395,1.0,0.0,0.996716539003031,0.0032834609969694,1148384.0,3.02657699584961,True
./repos/c++/json/build/tests/test-regression2_cpp20,758559.0,1.0,3794.0,3794.0,390527.0,102.9327886136,1.0,0.0,0.99502330285314,0.0049766971468597,4000248.0,4.44124364852905,True
./repos/c++/json/build/tests/test-regression2_cpp17,547808.0,1.0,3470.0,3470.0,368406.0,106.168876080692,1.0,0.0,0.993705535138351,0.0062944648616487,3781328.0,4.24818253517151,True
./repos/c++/json/build/tests/test-regression2_cpp11,500133.0,1.0,3027.0,3027.0,337072.0,111.355137099438,1.0,0.0,0.99398402098736,0.0060159790126401,3790368.0,4.3060142993927,True
./repos/c++/json/build/tests/test-regression1_cpp17,8682455479.0,1.0,2238989.0,2238989.0,391055494.0,174.657175180405,1.0,0.0,0.999742191391044,0.0002578086089556,3840224.0,441.734011650085,True
./repos/c++/json/build/tests/test-regression1_cpp11,7134781922.0,1.0,2239036.0,2239036.0,391059254.0,174.655188214928,1.0,0.0,0.999686278628972,0.000313721371028,3878480.0,366.043998718262,True
./repos/c++/json/build/tests/test-reference_access_cpp11,211549.0,1.0,1117.0,1117.0,193897.0,173.587287376902,1.0,0.0,0.994747632437719,0.0052523675622807,1206536.0,2.86636519432068,True
./repos/c++/json/build/tests/test-readme_cpp11,10150.0,1.0,16.0,16.0,115049.0,7190.5625,1.0,0.0,0.998426126303364,0.0015738736966358,2034464.0,2.10010933876038,True
./repos/c++/json/build/tests/test-pointer_access_cpp11,126837.0,1.0,652.0,652.0,137142.0,210.340490797546,1.0,0.0,0.994885833287578,0.0051141667124222,1235344.0,2.84938764572144,True
./repos/c++/json/build/tests/test-ordered_map_cpp11,122965.0,1.0,143.0,143.0,130820.0,914.825174825175,1.0,0.0,0.998838418299379,0.0011615817006205,643944.0,2.55750036239624,True
./repos/c++/json/build/tests/test-ordered_json_cpp11,85120.0,1.0,197.0,197.0,128438.0,651.969543147208,1.0,0.0,0.997690964286133,0.0023090357138671,1552968.0,2.72529792785645,True
./repos/c++/json/build/tests/test-noexcept_cpp11,14005.0,1.0,24.0,24.0,115407.0,4808.625,1.0,0.0,0.998289257965643,0.0017107420343574,516048.0,2.14770913124084,True
./repos/c++/json/build/tests/test-no-mem-leak-on-adl-serialize_cpp11,18939.0,1.0,37.0,37.0,116734.0,3154.97297297297,1.0,0.0,0.998050168634064,0.0019498313659359,792840.0,2.34801340103149,True
./repos/c++/json/build/tests/test-msgpack_cpp11,1834473703.0,1.0,1169770.0,1169770.0,122651429.0,104.850892910572,1.0,0.0,0.999362746624164,0.0006372533758356,2492272.0,120.687405824661,True
./repos/c++/json/build/tests/test-modifiers_cpp11,806050.0,1.0,1835.0,1835.0,209725.0,114.291553133515,1.0,0.0,0.997728637120382,0.0022713628796177,1453104.0,3.99160647392273,True
./repos/c++/json/build/tests/test-meta_cpp11,42627.0,1.0,94.0,94.0,119053.0,1266.52127659574,1.0,0.0,0.997799676973854,0.0022003230261463,1095720.0,2.6168532371521,True
./repos/c++/json/build/tests/test-merge_patch_cpp11,384097.0,1.0,699.0,699.0,133675.0,191.23748211731,1.0,0.0,0.998183453050448,0.0018165469495524,1166424.0,3.3098132610321,True
./repos/c++/json/build/tests/test-large_json_cpp11,6150026165.0,1.0,10000092.0,10000092.0,379984865.0,37.9981369171404,1.0,0.0,0.998376615361236,0.0016233846387645,1012624.0,458.169546842575,True
./repos/c++/json/build/tests/test-json_pointer_cpp20,1186739.0,1.0,1711.0,1711.0,216206.0,126.362361192285,1.0,0.0,0.998560309647019,0.0014396903529807,1761928.0,3.94075274467468,True
./repos/c++/json/build/tests/test-json_pointer_cpp11,672788.0,1.0,1781.0,1781.0,221806.0,124.540145985401,1.0,0.0,0.997359795662119,0.0026402043378809,1752472.0,3.78345203399658,True
./repos/c++/json/build/tests/test-json_patch_cpp11,5720198.0,1.0,11044.0,11044.0,644612.0,58.3676204273814,1.0,0.0,0.998073018029949,0.0019269819700511,1639784.0,4.54792094230652,True
./repos/c++/json/build/tests/test-iterators2_cpp20,1732326.0,1.0,8878.0,8878.0,857256.0,96.559585492228,1.0,0.0,0.994901229264348,0.0050987707356518,1306744.0,3.86260986328125,True
./repos/c++/json/build/tests/test-iterators2_cpp11,951707.0,1.0,8798.0,8798.0,854454.0,97.1191179813594,1.0,0.0,0.990840235084669,0.009159764915331,1170416.0,3.62154364585876,True
./repos/c++/json/build/tests/test-iterators1_cpp11,668642.0,1.0,1607.0,1607.0,197123.0,122.66521468575,1.0,0.0,0.99760238359177,0.0023976164082303,1223696.0,4.17045402526856,True
./repos/c++/json/build/tests/test-items_cpp17,330649.0,1.0,439.0,439.0,130318.0,296.851936218679,1.0,0.0,0.998674068525588,0.0013259314744116,1159000.0,3.03169846534729,True
./repos/c++/json/build/tests/test-items_cpp11,314271.0,1.0,422.0,422.0,129534.0,306.952606635071,1.0,0.0,0.998659010527721,0.0013409894722793,1097816.0,3.20673632621765,True
./repos/c++/json/build/tests/test-inspection_cpp11,6334401713.0,1.0,3337613.0,3337613.0,487566261.0,146.082323205237,1.0,0.0,0.999473374837885,0.0005266251621154,1523696.0,334.50111579895,True
./repos/c++/json/build/tests/test-hash_cpp11,47132.0,1.0,110.0,110.0,118611.0,1078.28181818182,1.0,0.0,0.997671563439313,0.0023284365606875,1300960.0,2.67564249038696,True
./repos/c++/json/build/tests/test-element_access2_cpp17,6353888.0,1.0,18920.0,18920.0,1146460.0,60.5951374207188,1.0,0.0,0.997031136039247,0.0029688639607532,2647488.0,7.63463258743286,True
./repos/c++/json/build/tests/test-element_access2_cpp14,5582380.0,1.0,16781.0,16781.0,1006838.0,59.9986889935046,1.0,0.0,0.997002943833907,0.0029970561660934,2376184.0,6.39280605316162,True
./repos/c++/json/build/tests/test-element_access2_cpp11,5534775.0,1.0,16781.0,16781.0,1006838.0,59.9986889935046,1.0,0.0,0.996977243857398,0.0030227561426021,2332864.0,6.34411835670471,True
./repos/c++/json/build/tests/test-element_access1_cpp11,879922.0,1.0,2980.0,2980.0,303458.0,101.831543624161,1.0,0.0,0.996624766961679,0.0033752330383213,1169192.0,3.85519361495972,True
./repos/c++/json/build/tests/test-disabled_exceptions_cpp11,14475.0,1.0,35.0,35.0,116173.0,3319.22857142857,1.0,0.0,0.997587870434183,0.0024121295658166,1041112.0,2.28560042381287,True
./repos/c++/json/build/tests/test-diagnostics_cpp11,234843.0,1.0,647.0,647.0,159270.0,246.166924265842,1.0,0.0,0.997252537262729,0.0027474627372712,1499800.0,2.9984438419342,True
./repos/c++/json/build/tests/test-deserialization_cpp11,1109385.0,1.0,4402.0,4402.0,414798.0,94.2294411631077,1.0,0.0,0.996047718280066,0.0039522817199338,4693664.0,4.7854368686676,True
./repos/c++/json/build/tests/test-custom-base-class_cpp11,116061.0,1.0,293.0,293.0,143368.0,489.310580204778,1.0,0.0,0.997481822713443,0.0025181772865565,1784400.0,2.84316468238831,True
./repos/c++/json/build/tests/test-conversions_cpp17,1732755.0,1.0,8823.0,8823.0,500948.0,56.7775133174657,1.0,0.0,0.994933904769123,0.0050660952308768,3445512.0,5.79390931129456,True
./repos/c++/json/build/tests/test-conversions_cpp11,1670631.0,1.0,8580.0,8580.0,488764.0,56.9655011655012,1.0,0.0,0.994890457482711,0.0051095425172893,3399792.0,5.81012296676636,True
./repos/c++/json/build/tests/test-convenience_cpp11,52093.0,1.0,140.0,140.0,139769.0,998.35,1.0,0.0,0.997319702104034,0.0026802978959661,740048.0,3.02673745155334,True
./repos/c++/json/build/tests/test-constructor2_cpp11,111160.0,1.0,157.0,157.0,120775.0,769.267515923567,1.0,0.0,0.998589613446284,0.0014103865537159,1002888.0,2.7034592628479,True
./repos/c++/json/build/tests/test-constructor1_cpp11,1299301.0,1.0,9497.0,9497.0,490206.0,51.6169316626303,1.0,0.0,0.992743723630385,0.0072562763696154,2338368.0,4.71691346168518,True
./repos/c++/json/build/tests/test-concepts_cpp11,48988.0,1.0,67.0,67.0,116783.0,1743.02985074627,1.0,0.0,0.998634186117623,0.0013658138823769,842648.0,2.44077515602112,True
./repos/c++/json/build/tests/test-comparison_legacy_cpp20,3853174.0,1.0,1596.0,1596.0,167774.0,105.121553884712,1.0,0.0,0.999585967515572,0.0004140324844283,1480784.0,3.46503782272339,True
./repos/c++/json/build/tests/test-comparison_legacy_cpp11,2987769.0,1.0,1362.0,1362.0,160296.0,117.691629955947,1.0,0.0,0.999544349177069,0.0004556508229314,1411640.0,3.26692795753479,True
./repos/c++/json/build/tests/test-comparison_cpp20,3366232.0,1.0,1304.0,1304.0,158529.0,121.571319018405,1.0,0.0,0.999612773256173,0.0003872267438269,1212168.0,3.22680902481079,True
./repos/c++/json/build/tests/test-comparison_cpp11,2530438.0,1.0,1075.0,1075.0,151185.0,140.637209302326,1.0,0.0,0.999575352763347,0.0004246472366525,1127504.0,2.9641444683075,True
./repos/c++/json/build/tests/test-class_parser_cpp11,23067265.0,1.0,97648.0,97648.0,6908044.0,70.7443470424382,1.0,0.0,0.995784659325075,0.004215340674925,2348880.0,9.08795523643494,True
./repos/c++/json/build/tests/test-class_lexer_cpp11,272663.0,1.0,334.0,334.0,141039.0,422.27245508982,1.0,0.0,0.998776543331978,0.0012234566680219,600568.0,2.54313468933105,True
./repos/c++/json/build/tests/test-class_iterator_cpp11,201268.0,1.0,206.0,206.0,124049.0,602.179611650485,1.0,0.0,0.998977535562901,0.0010224644370985,985000.0,2.68213319778442,True
./repos/c++/json/build/tests/test-class_const_iterator_cpp11,165540.0,1.0,227.0,227.0,125086.0,551.039647577093,1.0,0.0,0.998630608022103,0.0013693919778966,982448.0,2.91844201087952,True
./repos/c++/json/build/tests/test-cbor_cpp11,1965220469.0,1.0,1431495.0,1431495.0,111965008.0,78.2154377067332,1.0,0.0,0.999272115744827,0.0007278842551726,2857064.0,139.965790271759,True
./repos/c++/json/build/tests/test-capacity_cpp11,303131.0,1.0,307.0,307.0,126663.0,412.583061889251,1.0,0.0,0.998988261193391,0.0010117388066095,964048.0,2.88195395469666,True
./repos/c++/json/build/tests/test-byte_container_with_subtype_cpp11,24977.0,1.0,26.0,26.0,115396.0,4438.30769230769,1.0,0.0,0.998960124785026,0.0010398752149742,545888.0,2.25554537773132,True
./repos/c++/json/build/tests/test-bson_cpp11,1683152.0,1.0,4573.0,4573.0,319493.0,69.8650776295648,1.0,0.0,0.997290435349361,0.0027095646506391,2318936.0,4.00586080551148,True
./repos/c++/json/build/tests/test-bjdata_cpp11,3082176361.0,1.0,426479.0,426479.0,359446641.0,842.823775613805,1.0,0.0,0.999861649708984,0.0001383502910157,2996968.0,152.724973678589,True
./repos/c++/json/build/tests/test-binary_formats_cpp11,13216.0,1.0,22.0,22.0,115949.0,5270.40909090909,1.0,0.0,0.998338117540414,0.001661882459586,1336128.0,2.21426439285278,True
./repos/c++/json/build/tests/test-assert_macro_cpp11,14075.0,1.0,39.0,39.0,116451.0,2985.92307692308,1.0,0.0,0.997236786169761,0.0027632138302394,809480.0,2.20623803138733,True
./repos/c++/json/build/tests/test-alt-string_cpp11,81900.0,1.0,174.0,174.0,124553.0,715.82183908046,1.0,0.0,0.997879961985525,0.0021200380144747,1311488.0,2.75976204872131,True
./repos/c++/json/build/tests/test-allocator_cpp11,52223.0,1.0,145.0,145.0,121921.0,840.834482758621,1.0,0.0,0.997231133516651,0.0027688664833486,1306240.0,2.738853931427,True
./repos/c++/json/build/tests/test-algorithms_cpp11,830258.0,1.0,1708.0,1708.0,194134.0,113.661592505855,1.0,0.0,0.997947031489268,0.0020529685107324,1191704.0,3.13460993766785,True
./repos/c++/glog/build/utilities_unittest,9950.0,1.0,115.0,115.0,111017.0,965.365217391304,1.0,0.0,0.988574267262792,0.0114257327372081,926176.0,6.54937362670898,True
./repos/c++/glog/build/symbolize_unittest,21461.0,1.0,26.0,26.0,84874.0,3264.38461538462,1.0,508.0,0.998789966025969,0.0012100339740308,931976.0,6.2508487701416,True
./repos/c++/glog/build/striplog2_unittest,16327.0,1.0,19.0,19.0,81855.0,4308.15789473684,1.0,0.0,0.998837636118928,0.0011623638810718,888840.0,6.0310263633728,True
./repos/c++/glog/build/striplog10_unittest,790.0,1.0,1.0,1.0,73728.0,73728.0,1.0,0.0,0.998735777496839,0.0012642225031605,889032.0,5.83870220184326,True
./repos/c++/glog/build/striplog0_unittest,18110.0,1.0,19.0,19.0,81855.0,4308.15789473684,1.0,0.0,0.998951955430526,0.0010480445694743,888440.0,5.33698558807373,True
./repos/c++/glog/build/stl_logging_unittest,11240.0,1.0,44.0,44.0,83919.0,1907.25,1.0,0.0,0.996100673520028,0.0038993264799716,997808.0,5.82998967170715,True
./repos/c++/glog/build/stacktrace_unittest,2382.0,1.0,6.0,6.0,81141.0,13523.5,1.0,0.0,0.99748743718593,0.0025125628140703,903072.0,5.71463537216187,True
./repos/c++/glog/build/signalhandler_unittest,685.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.997088791848617,0.0029112081513828,903032.0,5.73686194419861,True
./repos/c++/glog/build/logging_unittest,37776503.0,4.0,42.0,40.0,93049.0,2215.45238095238,1.0,0.0,0.999998888199013,1.11180098656455e-06,1155488.0,9.2195565700531,True
./repos/c++/glog/build/demangle_unittest,2415.0,1.0,14.0,14.0,75163.0,5368.78571428572,1.0,0.0,0.994236311239193,0.0057636887608069,927160.0,5.8353853225708,True
./repos/c++/glog/build/cleanup_with_relative_prefix_unittest,789429.0,1.0,199.0,199.0,109693.0,551.221105527638,1.0,0.0,0.999747982594336,0.0002520174056644,964712.0,6.374107837677,True
./repos/c++/glog/build/cleanup_with_absolute_prefix_unittest,844758.0,1.0,97.0,97.0,139511.0,1438.25773195876,1.0,0.0,0.999885187399021,0.0001148126009788,964712.0,5.96614456176758,True
./repos/c++/glog/build/cleanup_immediately_unittest,950587.0,1.0,278.0,278.0,173559.0,624.312949640288,1.0,0.0,0.999707634627418,0.0002923653725818,964608.0,6.423259973526,True
./repos/c++/benchmark/build/test/user_counters_thousands_test,972777.0,1.0,100576.0,100572.0,1541490.0,15.3266186764238,1.0,0.0,0.906297369085473,0.0937026309145267,603536.0,2.99771213531494,True
./repos/c++/benchmark/build/test/user_counters_test,4186093.0,1.0,512771.0,512767.0,3904194.0,7.61391342334102,1.0,0.0,0.890873411105323,0.109126588894678,669808.0,27.4563026428223,True
./repos/c++/benchmark/build/test/user_counters_tabular_test,10562738.0,1.0,1549412.0,1541202.0,7212531.0,4.65501170766717,1.0,0.0,0.872077872219218,0.127922127780782,671248.0,44.0515174865723,True
./repos/c++/benchmark/build/test/time_unit_gtest,5602.0,1.0,274.0,274.0,121174.0,442.240875912409,1.0,0.0,0.953369639210347,0.0466303607896528,1052008.0,2.21662998199463,True
./repos/c++/benchmark/build/test/templated_fixture_test,6697.0,1.0,281.0,277.0,284030.0,1010.78291814947,1.0,0.0,0.959730581828604,0.0402694181713958,494816.0,6.00580048561096,True
./repos/c++/benchmark/build/test/string_util_gtest,16587.0,1.0,2900.0,2900.0,453338.0,156.323448275862,1.0,0.0,0.851182839841946,0.148817160158054,1149440.0,2.37012839317322,True
./repos/c++/benchmark/build/test/statistics_gtest,5844.0,1.0,259.0,259.0,121317.0,468.405405405405,1.0,0.0,0.957561854825496,0.0424381451745043,1055056.0,2.07917547225952,True
